Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,27,28,29,29,30,31,31,,,
5%,38,39,39,39,40,40,40,,,
10%,41,42,43,43,44,44,44,,,
25%,47,47,48,49,50,50,50,,,
50%,54,54,55,56,57,57,58,,,
75%,60,61,62,62,63,63,63,,,
90%,66,66,67,68,68,69,69,,,
95%,69,70,70,71,72,72,73,,,
