Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,29,29,29,30,30,30,,,
5%,34,35,35,36,37,37,38,,,
10%,37,37,38,39,39,40,40,,,
25%,43,44,45,45,46,47,48,,,
50%,50,51,51,53,54,55,55,,,
75%,56,57,58,58,59,60,61,,,
90%,62,63,64,65,66,67,67,,,
95%,66,67,68,69,70,70,71,,,
