Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,79,80,81,82,82,83,83,,,
5%,85,86,87,88,88,89,90,,,
10%,88,88,90,90,91,92,93,,,
25%,93,94,95,96,97,98,99,,,
50%,99,99,101,102,103,104,106,,,
75%,105,106,107,108,109,111,112,,,
90%,110,111,112,114,116,117,118,,,
95%,114,114,116,118,120,123,124,,,
