Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,65,66,67,69,70,72,73,,,
5%,73,73,74,75,76,77,78,,,
10%,75,76,77,78,79,80,81,,,
25%,81,82,83,84,85,86,86,,,
50%,88,89,89,90,91,92,93,,,
75%,95,95,96,97,98,99,99,,,
90%,102,103,104,104,105,106,107,,,
95%,106,106,107,108,109,110,110,,,
