Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,29,28,28,29,30,30,,,
5%,40,40,40,41,42,44,46,,,
10%,44,45,46,46,47,48,49,,,
25%,52,53,53,54,55,56,57,,,
50%,60,60,60,61,62,63,64,,,
75%,67,67,67,67,68,69,70,,,
90%,74,74,74,74,74,75,75,,,
95%,76,77,77,76,76,77,77,,,
