Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,62,63,64,65,66,67,68,,,
5%,70,70,71,72,72,73,74,,,
10%,73,73,74,75,76,76,77,,,
25%,78,79,80,80,81,82,82,,,
50%,84,85,86,86,87,88,88,,,
75%,92,92,93,94,95,95,96,,,
90%,98,99,99,100,101,102,102,,,
95%,101,102,102,103,104,105,105,,,
