Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,71,72,74,77,79,81,82,,,
5%,78,79,81,83,85,86,87,,,
10%,82,83,85,87,88,89,90,,,
25%,88,89,90,92,93,94,95,,,
50%,95,95,97,98,99,100,101,,,
75%,101,102,103,104,106,107,108,,,
90%,108,108,109,111,112,113,114,,,
95%,112,112,113,114,116,117,118,,,
