Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,70,71,73,75,76,77,78,,,
5%,76,77,79,80,82,83,84,,,
10%,79,80,82,84,85,87,87,,,
25%,86,86,88,89,90,91,92,,,
50%,93,93,94,95,96,97,98,,,
75%,99,99,101,102,103,104,104,,,
90%,105,105,106,107,109,110,110,,,
95%,108,109,110,111,112,113,114,,,
