Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,25,26,27,29,31,33,34,,,
5%,39,39,39,40,40,41,41,,,
10%,43,43,44,44,45,45,45,,,
25%,50,50,51,51,52,52,52,,,
50%,57,57,58,59,59,60,60,,,
75%,63,63,64,65,65,66,67,,,
90%,69,70,70,71,72,72,73,,,
95%,72,73,73,74,75,75,75,,,
