Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,26,26,27,28,29,31,32,,,
5%,39,40,40,40,40,40,40,,,
10%,43,43,44,44,44,44,44,,,
25%,49,50,50,51,51,51,51,,,
50%,56,56,57,58,58,59,59,,,
75%,62,62,63,63,64,64,65,,,
90%,68,68,69,70,70,71,71,,,
95%,71,71,72,73,73,74,74,,,
