Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,23,23,24,25,26,27,28,,,
5%,26,26,27,27,28,28,29,,,
10%,29,30,30,31,31,32,32,,,
25%,36,36,36,37,37,38,38,,,
50%,43,43,44,44,45,46,46,,,
75%,48,48,49,50,50,51,52,,,
90%,55,55,56,56,57,58,58,,,
95%,57,58,58,59,60,61,61,,,
