Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,30,30,30,30,30,30,,,
5%,35,36,36,37,38,39,39,,,
10%,38,39,39,40,41,42,42,,,
25%,45,46,47,47,48,49,50,,,
50%,52,52,53,55,56,57,57,,,
75%,59,59,60,61,62,62,63,,,
90%,64,65,66,67,68,69,70,,,
95%,68,69,70,71,72,73,73,,,
