Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,32,32,34,36,37,38,39,,,
5%,41,42,44,46,48,49,50,,,
10%,46,47,48,50,52,53,53,,,
25%,53,55,56,58,59,60,61,,,
50%,61,62,64,65,66,67,68,,,
75%,68,69,71,73,74,75,75,,,
90%,75,76,78,79,80,81,81,,,
95%,78,79,81,83,84,85,85,,,
