Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,29,29,29,29,29,29,,,
5%,33,33,34,35,35,36,36,,,
10%,36,36,37,37,38,38,39,,,
25%,41,42,43,43,44,45,45,,,
50%,48,48,49,50,51,53,53,,,
75%,54,55,55,56,57,58,58,,,
90%,60,61,61,62,63,64,65,,,
95%,64,65,65,66,67,68,69,,,
