Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,80,81,82,82,82,81,81,,,
5%,87,88,89,90,90,91,91,,,
10%,90,91,92,93,94,94,95,,,
25%,95,96,97,99,100,100,101,,,
50%,102,102,104,105,107,108,108,,,
75%,108,109,110,112,113,114,114,,,
90%,114,115,116,118,120,122,122,,,
95%,118,119,120,122,124,125,126,,,
