Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,26,27,28,30,32,33,34,,,
5%,40,40,41,43,43,44,43,,,
10%,46,46,47,48,48,48,47,,,
25%,53,54,54,55,55,55,55,,,
50%,61,61,62,63,63,63,63,,,
75%,68,68,69,69,69,70,70,,,
90%,74,74,75,75,75,76,76,,,
95%,77,78,78,78,78,78,78,,,
