Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,68,69,70,72,74,76,77,,,
5%,75,75,77,78,79,81,82,,,
10%,77,78,80,81,83,84,85,,,
25%,83,84,85,86,88,89,89,,,
50%,90,91,92,93,94,95,96,,,
75%,97,97,98,99,101,102,102,,,
90%,104,105,106,107,108,109,110,,,
95%,108,109,109,110,111,112,113,,,
