Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,73,74,76,77,78,79,79,,,
5%,80,81,82,84,85,86,86,,,
10%,83,84,86,87,88,89,89,,,
25%,88,89,90,92,93,94,94,,,
50%,95,96,97,98,99,99,100,,,
75%,102,102,103,104,105,106,106,,,
90%,107,108,109,110,111,112,112,,,
95%,111,112,112,114,115,116,117,,,
