Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,27,27,27,27,27,28,28,,,
5%,30,30,31,31,32,32,33,,,
10%,33,33,34,34,34,35,35,,,
25%,36,37,37,38,39,39,40,,,
50%,41,42,42,43,44,45,46,,,
75%,48,49,49,50,51,51,52,,,
90%,54,55,56,56,57,58,58,,,
95%,59,59,60,60,61,62,62,,,
