Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,73,74,77,79,81,82,82,,,
5%,80,81,83,85,87,88,89,,,
10%,84,85,87,88,90,91,91,,,
25%,90,91,92,93,95,96,97,,,
50%,96,97,98,99,101,102,103,,,
75%,103,103,105,106,108,109,110,,,
90%,109,110,111,112,113,115,116,,,
95%,113,114,114,116,117,119,120,,,
