Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,27,27,28,30,31,32,32,,,
5%,36,36,37,37,38,38,39,,,
10%,38,39,40,41,41,42,42,,,
25%,44,44,45,46,47,48,48,,,
50%,51,51,52,53,54,55,55,,,
75%,58,58,59,60,61,62,62,,,
90%,63,64,65,65,66,67,67,,,
95%,66,67,68,69,70,70,71,,,
