Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,66,67,69,70,72,74,75,,,
5%,74,74,75,77,78,79,80,,,
10%,76,77,78,79,81,82,83,,,
25%,82,83,84,85,86,87,88,,,
50%,89,90,91,92,93,94,94,,,
75%,96,96,97,98,99,100,101,,,
90%,103,104,105,106,107,108,108,,,
95%,107,108,109,109,110,111,112,,,
