Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,27,27,27,28,28,29,29,,,
5%,37,37,39,40,41,42,42,,,
10%,43,43,44,45,45,46,46,,,
25%,49,50,50,51,52,53,54,,,
50%,56,56,57,59,60,61,61,,,
75%,63,64,64,65,66,66,67,,,
90%,69,70,71,72,72,73,73,,,
95%,72,73,74,74,75,75,75,,,
