Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,28,28,29,29,30,29,,,
5%,39,40,40,42,44,45,45,,,
10%,45,45,46,47,48,49,50,,,
25%,53,53,54,55,56,57,58,,,
50%,61,61,61,62,64,65,65,,,
75%,67,68,68,68,69,71,71,,,
90%,75,75,75,75,76,76,76,,,
95%,78,78,78,78,79,79,79,,,
