Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,75,76,77,79,80,80,80,,,
5%,81,82,83,85,86,87,87,,,
10%,84,85,86,88,89,89,89,,,
25%,89,90,92,93,94,95,96,,,
50%,96,97,98,99,100,101,101,,,
75%,102,103,104,105,106,107,107,,,
90%,107,108,109,110,112,113,114,,,
95%,112,112,113,115,116,118,119,,,
