Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,38,38,40,42,42,43,42,,,
5%,46,46,48,51,52,52,52,,,
10%,50,51,53,54,54,55,56,,,
25%,57,57,58,60,60,61,61,,,
50%,64,64,65,66,66,66,67,,,
75%,70,70,71,72,72,73,74,,,
90%,76,76,77,77,78,78,78,,,
95%,80,79,80,81,82,82,82,,,
