Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,85,85,86,87,87,88,88,,,
5%,91,92,93,93,93,94,94,,,
10%,94,94,96,96,97,97,97,,,
25%,99,100,101,102,103,103,103,,,
50%,106,107,108,109,109,110,110,,,
75%,113,113,115,116,117,117,118,,,
90%,119,120,122,123,124,124,124,,,
95%,124,125,125,127,127,128,128,,,
