Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,83,83,83,83,84,85,85,,,
5%,89,90,91,92,92,92,92,,,
10%,92,93,94,95,96,96,96,,,
25%,98,99,100,101,102,102,102,,,
50%,105,106,107,108,109,109,109,,,
75%,112,112,113,115,115,116,116,,,
90%,118,118,120,122,123,123,123,,,
95%,123,123,124,125,126,127,127,,,
