Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,66,67,68,69,70,71,72,,,
5%,72,73,74,75,76,77,78,,,
10%,75,76,77,78,79,80,81,,,
25%,82,82,83,84,85,86,86,,,
50%,88,89,89,90,91,92,92,,,
75%,95,95,96,97,98,98,99,,,
90%,101,102,102,103,104,105,105,,,
95%,106,106,107,107,108,109,109,,,
