Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,24,25,26,27,28,29,30,,,
5%,29,29,30,31,31,32,32,,,
10%,32,33,33,34,34,35,35,,,
25%,38,38,39,40,40,41,41,,,
50%,45,46,46,47,48,49,49,,,
75%,51,52,52,53,54,55,55,,,
90%,58,58,59,59,60,61,61,,,
95%,60,61,61,62,63,64,64,,,
