Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,30,30,29,29,29,28,28,,,
5%,36,37,37,38,38,39,39,,,
10%,40,40,41,42,43,44,44,,,
25%,47,47,48,49,50,51,51,,,
50%,54,54,55,56,57,58,59,,,
75%,60,61,62,63,63,64,65,,,
90%,67,67,68,69,70,71,71,,,
95%,70,71,72,72,73,74,74,,,
