Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,26,27,29,31,33,34,35,,,
5%,39,39,41,42,43,44,45,,,
10%,44,45,46,47,48,48,48,,,
25%,51,52,53,54,55,55,55,,,
50%,59,60,61,62,63,63,64,,,
75%,66,66,67,68,69,70,70,,,
90%,72,73,74,74,75,75,76,,,
95%,76,76,77,77,78,78,78,,,
