Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,28,28,28,29,29,29,29,,,
5%,40,40,41,41,42,42,42,,,
10%,43,43,44,45,46,47,47,,,
25%,50,51,52,53,53,54,55,,,
50%,57,58,59,60,60,61,61,,,
75%,64,65,65,66,67,67,67,,,
90%,71,71,72,73,73,73,73,,,
95%,74,74,75,75,75,75,75,,,
