Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,69,70,71,73,74,76,76,,,
5%,75,76,77,78,80,81,82,,,
10%,78,78,80,82,83,85,85,,,
25%,84,85,86,87,88,89,90,,,
50%,91,92,93,94,95,96,96,,,
75%,97,98,99,100,101,102,103,,,
90%,103,104,105,106,107,108,108,,,
95%,107,108,109,109,110,111,112,,,
