Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,21,21,22,23,24,24,25,,,
5%,22,23,23,23,24,24,25,,,
10%,27,27,27,28,28,28,29,,,
25%,33,33,33,34,34,35,35,,,
50%,40,40,40,41,41,42,42,,,
75%,44,44,45,45,46,47,47,,,
90%,52,52,53,53,54,54,54,,,
95%,54,54,55,55,56,57,57,,,
