Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,26,27,29,31,32,34,35,,,
5%,38,38,39,40,42,43,44,,,
10%,43,43,44,45,46,47,47,,,
25%,50,51,52,53,53,54,54,,,
50%,57,58,59,60,61,62,62,,,
75%,64,64,65,66,67,68,69,,,
90%,70,71,72,73,74,74,74,,,
95%,74,74,75,76,76,77,77,,,
