Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,27,27,29,29,29,30,30,,,
5%,39,39,40,40,41,43,44,,,
10%,45,45,45,46,46,47,48,,,
25%,53,53,53,54,55,56,57,,,
50%,61,60,61,62,63,64,65,,,
75%,68,68,68,68,69,71,71,,,
90%,74,74,74,75,76,77,77,,,
95%,78,78,78,78,80,81,81,,,
