Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,69,70,72,74,76,77,78,,,
5%,76,77,78,80,81,83,83,,,
10%,79,80,81,83,84,86,87,,,
25%,85,85,87,88,89,90,91,,,
50%,92,92,93,94,96,97,97,,,
75%,98,98,99,101,102,103,104,,,
90%,105,106,107,108,109,110,111,,,
95%,109,109,110,111,112,113,114,,,
