Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,37,38,40,41,42,42,42,,,
5%,45,46,48,49,50,51,52,,,
10%,50,51,53,54,55,56,57,,,
25%,58,59,60,61,62,63,64,,,
50%,65,66,67,68,69,70,70,,,
75%,71,72,74,75,76,76,76,,,
90%,78,79,80,81,82,82,83,,,
95%,81,82,84,85,86,86,87,,,
