Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,25,26,27,28,30,31,31,,,
5%,32,33,33,34,35,35,36,,,
10%,35,36,36,37,38,39,39,,,
25%,41,41,42,43,44,44,45,,,
50%,48,49,49,50,51,52,52,,,
75%,54,55,56,57,58,59,59,,,
90%,60,61,62,62,63,64,64,,,
95%,63,64,65,66,67,67,68,,,
