Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,64,65,66,68,69,70,71,,,
5%,72,72,73,74,75,76,77,,,
10%,75,75,76,77,78,79,80,,,
25%,80,81,82,83,84,84,85,,,
50%,87,87,88,89,90,91,91,,,
75%,94,94,95,96,97,98,98,,,
90%,101,101,102,103,104,105,106,,,
95%,104,105,106,106,107,108,109,,,
