Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,30,30,30,31,32,34,35,,,
5%,39,39,41,43,45,46,47,,,
10%,44,45,46,47,49,50,51,,,
25%,52,52,54,56,57,58,59,,,
50%,60,60,62,64,65,66,67,,,
75%,67,68,69,70,72,73,74,,,
90%,74,74,75,77,78,79,80,,,
95%,77,78,79,81,82,83,84,,,
