Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,67,68,69,71,72,74,74,,,
5%,73,74,75,77,78,79,80,,,
10%,76,77,78,80,81,82,83,,,
25%,83,83,84,86,87,88,88,,,
50%,90,90,91,92,93,94,94,,,
75%,96,97,97,98,99,100,101,,,
90%,102,103,104,105,105,106,107,,,
95%,107,107,108,108,109,110,110,,,
