Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,82,83,84,86,88,89,89,,,
5%,88,89,90,92,93,95,95,,,
10%,91,92,93,95,97,99,99,,,
25%,97,97,99,101,103,104,105,,,
50%,103,104,105,108,110,111,112,,,
75%,109,110,112,114,117,118,119,,,
90%,115,116,118,121,124,126,126,,,
95%,119,120,122,125,128,130,131,,,
