Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,81,82,82,83,84,86,87,,,
5%,87,87,88,89,90,92,93,,,
10%,90,91,91,92,94,95,96,,,
25%,95,96,97,98,99,101,102,,,
50%,101,101,102,104,106,108,109,,,
75%,107,108,109,110,112,114,115,,,
90%,113,114,115,117,119,121,122,,,
95%,116,117,118,121,124,126,128,,,
