Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,29,29,29,29,29,29,30,,,
5%,40,40,41,41,41,42,43,,,
10%,44,44,45,46,47,48,48,,,
25%,51,52,53,53,54,55,56,,,
50%,58,59,59,60,61,61,62,,,
75%,65,66,66,67,67,68,68,,,
90%,72,73,73,73,73,73,73,,,
95%,75,75,76,76,76,75,75,,,
