Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,72,73,74,76,77,78,79,,,
5%,78,79,81,82,84,85,85,,,
10%,82,83,84,86,87,88,89,,,
25%,87,88,89,90,92,92,93,,,
50%,94,94,95,97,98,98,99,,,
75%,100,101,102,103,104,105,106,,,
90%,106,107,108,109,110,111,111,,,
95%,110,110,111,112,114,115,116,,,
