Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,70,71,73,75,76,78,79,,,
5%,77,78,80,81,83,84,84,,,
10%,80,81,83,84,86,87,88,,,
25%,86,87,88,89,90,92,92,,,
50%,92,93,94,95,97,98,99,,,
75%,98,99,100,102,103,104,105,,,
90%,106,106,107,109,110,111,112,,,
95%,109,110,111,112,113,114,115,,,
