Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,76,78,80,82,82,82,81,,,
5%,83,84,86,88,89,89,89,,,
10%,87,88,89,91,92,93,93,,,
25%,92,93,95,96,97,98,99,,,
50%,98,99,101,102,104,105,106,,,
75%,105,106,107,109,110,112,113,,,
90%,111,112,113,114,116,118,120,,,
95%,115,116,117,118,120,123,124,,,
