Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,35,35,35,35,36,37,38,,,
5%,44,44,44,46,47,47,48,,,
10%,47,47,49,50,51,52,52,,,
25%,55,55,56,57,58,59,59,,,
50%,63,63,64,65,66,66,66,,,
75%,69,69,70,71,72,73,73,,,
90%,76,76,76,76,77,77,77,,,
95%,80,80,80,80,81,81,82,,,
