Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,28,28,28,28,29,29,29,,,
5%,32,32,33,33,34,35,35,,,
10%,35,35,35,36,37,37,37,,,
25%,39,40,41,41,42,43,43,,,
50%,45,46,47,48,49,50,51,,,
75%,52,52,53,54,55,55,56,,,
90%,58,58,59,60,61,62,62,,,
95%,62,63,63,64,65,66,66,,,
