Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,83,85,87,89,89,90,90,,,
5%,91,93,94,96,97,97,98,,,
10%,95,96,98,99,100,101,101,,,
25%,101,103,105,106,107,107,108,,,
50%,108,110,112,113,114,114,114,,,
75%,116,117,119,121,121,122,122,,,
90%,123,124,126,128,129,130,130,,,
95%,127,129,131,132,134,135,135,,,
