Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,34,35,37,39,40,41,41,,,
5%,43,45,46,48,49,50,51,,,
10%,48,49,51,53,54,55,55,,,
25%,56,57,58,60,61,62,62,,,
50%,63,64,66,67,68,69,69,,,
75%,70,71,73,74,75,76,76,,,
90%,77,78,79,80,81,82,82,,,
95%,80,81,83,84,85,86,86,,,
