Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,70,71,73,75,77,79,80,,,
5%,78,79,80,82,83,84,85,,,
10%,82,82,84,85,87,88,89,,,
25%,87,88,89,90,92,93,94,,,
50%,93,94,95,97,98,99,100,,,
75%,99,100,101,103,105,106,107,,,
90%,107,107,108,110,111,112,113,,,
95%,110,111,112,113,115,116,117,,,
