Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,39,38,39,40,42,42,42,,,
5%,46,46,46,48,50,50,50,,,
10%,49,49,51,52,53,53,54,,,
25%,56,56,57,58,59,60,60,,,
50%,64,64,64,65,66,67,67,,,
75%,70,70,71,72,73,73,74,,,
90%,76,76,76,77,77,78,78,,,
95%,80,80,80,81,82,82,82,,,
