Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,77,78,79,80,81,81,81,,,
5%,83,84,85,86,87,88,88,,,
10%,85,86,88,89,90,90,90,,,
25%,91,92,93,94,96,97,97,,,
50%,97,98,99,100,101,102,103,,,
75%,104,104,106,107,108,108,109,,,
90%,108,109,111,112,113,115,116,,,
95%,112,113,114,116,118,120,121,,,
