Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,28,28,28,27,27,27,28,,,
5%,37,37,37,38,39,40,41,,,
10%,41,42,43,44,45,45,46,,,
25%,48,49,49,50,51,52,52,,,
50%,55,55,56,57,58,59,60,,,
75%,62,63,63,64,65,66,66,,,
90%,68,68,69,70,71,72,72,,,
95%,72,72,73,73,74,74,75,,,
