Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,25,26,28,30,31,31,31,,,
5%,40,40,41,41,41,42,42,,,
10%,46,46,47,47,46,46,46,,,
25%,54,54,54,54,54,55,55,,,
50%,61,62,62,62,62,63,63,,,
75%,68,68,68,69,69,69,70,,,
90%,75,75,75,75,75,76,76,,,
95%,78,78,78,78,78,79,79,,,
