Height-,5th,10th,25th,50th,75th,90th,95th,,,
1%,65,66,67,68,69,70,71,,,
5%,71,72,72,73,74,75,76,,,
10%,74,75,76,77,78,79,79,,,
25%,81,81,82,83,83,84,85,,,
50%,87,87,88,89,89,90,91,,,
75%,94,94,95,96,96,97,97,,,
90%,100,100,101,102,103,103,104,,,
95%,104,105,105,106,107,107,108,,,
